Date,Open,Close,Volume,Down-F,Sp500,Nasdaq,Russel,NVDA,AMD,AVGO,QCOM,Gold,MGC_Gold,Silver,Eur_usd,Nikkei,Gpb_usd,Aud_usd,Usd_jpy,Fste,Iron_steel,Oil,BTC-USD,Sugar,Nat_Gas,Corn-F,Coffe-F,Feeder-F,Vix,Tnx,Bzf,Upper_bb,Middle_bb,Lower_bb,Sma,Mom5,Mom10,Mom15,Mom20,Slow_k,Slow_d,Fast_k,Fast_d,Trix,William_R,Rocr,Pro,Mfi,Macd,Macd_sig,Apo,Aroon_up,Aroon_down,Cci,Cmo,Dx,Ultosc,Name
1/3/2017,44,44,3119660,19798,2252.5,4906.25,,25.50250053,11.43000031,178.3399963,65.40000153,1160.400024,1162,16.3560009,1.046003222,,1.228199482,0.719683349,117.4950027,7177.899902,253.4100037,52.33000183,,20.51000023,3.326999903,355.75,137.3999939,130.1999969,12.85000038,2.450000048,55.47000122,44.21269175,43.54157328,42.87045481,41.90333333,0.2,2.5,3.3,1.6,48.7037037,56.30604288,85,48.7037037,-0.017614567,-4.166666667,1.060240964,1.933308871,72.98746195,0.592124028,0.390198697,0.810576923,0,100,97.87063078,27.40632608,39.17621828,55.82473892,HPG
1/4/2017,44.3,44,2446300,19856,2264.25,4933.5,,26.09749985,11.43000031,177.0700073,65.47000122,1163.800049,1165.300049,16.49900055,1.041992307,19594.16016,1.224559784,0.722992599,117.6589966,7189.700195,263.2600098,53.25999832,,20.88999939,3.26699996,359.75,141.8000031,128.5,11.85000038,2.451999903,56.45999908,44.43167739,43.69302998,42.95438256,41.97333333,0.85,2.7,3.45,3.1,49.32098765,48.82174572,62.96296296,49.32098765,-0.010180439,-14.70588235,1.065375303,2.061612097,72.8838919,0.638179681,0.439794894,0.866987179,0,100,109.2098166,27.40632608,43.49647484,48.86221555,HPG
1/5/2017,44.05,44.1,3068500,19821,2264.25,4962,,25.43499947,11.23999977,174.2799988,65.55000305,1179.699951,1181.300049,16.58399963,1.05008924,19520.68945,1.232680798,0.728703618,117.112999,7195.299805,261.1400146,53.75999832,,20.78000069,3.273000002,361.25,143.75,128.25,11.67000008,2.368000031,56.88999939,44.69382788,43.8490794,43.00433091,42.055,0.5,2.2,2.45,3.25,72.77777778,56.93415638,70.37037037,72.77777778,-0.002481345,-12.12121212,1.052505967,2.226222486,73.72554185,0.674967676,0.48682945,0.939423077,0,92.85714286,98.1582252,28.61516464,43.49647484,42.65536754,HPG
1/6/2017,44.2,43.4,4204960,19897,2271.5,5004,,25.77499962,11.31999969,176.5899963,65.52999878,1171.900024,1173.400024,16.4659996,1.060591578,19454.33008,1.24254477,0.733837247,115.2649994,7210.100098,256.2399902,53.99000168,,20.75,3.285000086,358,142.8500061,128.3249969,11.31999969,2.417999983,57.09999847,44.667744,43.90459264,43.14144128,42.11166667,0.2,0.9,2.1,2.5,50.61728395,57.57201646,18.51851852,50.61728395,0.004892277,-33.84615385,1.021176471,2.519459238,64.58602219,0.640257783,0.517515117,1.064423077,0,85.71428571,54.69927703,14.27061796,20.75879272,41.23118951,HPG
1/9/2017,43.5,43.15,2617980,19828,2265,5022,,26.81999969,11.48999977,176.9700012,65.65000153,1183.5,1184.900024,16.62999916,1.053185821,,1.226091266,0.731207967,117.1500015,7237.799805,250.9900055,51.95999908,,20.42000008,3.102999926,360,144.1999969,129.2749939,11.56000042,2.375999928,54.93999863,44.60598414,43.84283278,43.07968142,42.15833333,0,0.2,1.35,2.25,33.9307049,52.44192221,12.90322581,33.9307049,0.01174787,-41.53846154,1.004656577,2.635207831,64.25495391,0.585824018,0.531176897,1.11474359,7.142857143,78.57142857,4.767309875,9.570435785,14.64521288,38.24819974,HPG
1/10/2017,43.2,43.85,2985620,19788,2263.75,5031.25,,26.61750031,11.43999958,180.5700073,65.62999725,1184.199951,1185.5,16.8029995,1.05886209,19301.43945,1.217344761,0.735997617,115.9850006,7275.5,259.1099854,50.81999969,,20.47999954,3.278000116,358.25,147.6999969,132.6999969,11.48999977,2.378999949,53.63999939,44.52336363,43.79398032,43.06459702,42.26333333,-0.15,0.05,2.35,3.15,29.82875348,38.12558078,58.06451613,29.82875348,0.018542667,-20.96774194,1.001141553,2.747011651,68.34594195,0.59234088,0.543409694,1.163782051,0,71.42857143,53.71069182,19.54871832,23.03733165,45.02039119,HPG
1/11/2017,43.85,44,1669830,19877,2270.5,5046.5,,26.29000092,11.19999981,179.4199982,66.09999847,1195.599976,1196.599976,16.78300095,1.055241942,19364.66992,1.217433691,0.736160219,115.8720016,7290.5,258.4500122,52.25,,20.55999947,3.223999977,357.25,149,132.0500031,11.26000023,2.369999886,55.09999847,44.52764479,43.79826148,43.06887818,42.385,0,0.85,2.7,3.45,46.98924731,36.91623523,70,46.98924731,0.025296171,-20,1.019698725,2.804218415,67.90843917,0.602662172,0.555260189,1.18974359,0,64.28571429,64.32062561,21.54644419,23.03733165,50.08194562,HPG
1/12/2017,44.2,43.65,1836920,19803,2263.5,5034.75,,25.86000061,10.76000023,178.8600006,66.12000275,1198.900024,1199.800049,16.78000069,1.059771061,19134.69922,1.22144866,0.744712532,115.0979996,7292.399902,252.3399963,53.00999832,,20.76000023,3.385999918,358.25,149.6000061,130.3249969,11.53999996,2.361000061,56.00999832,44.41030182,43.79907355,43.18784528,42.43666667,-0.45,0.05,1.75,2,58.2437276,45.02057613,46.66666667,58.2437276,0.031701596,-35.41666667,1.001146789,2.519178309,63.02456936,0.575960481,0.559400248,1.071474359,0,57.14285714,55.95653861,14.40773358,26.39457573,41.86012527,HPG
1/13/2017,43.5,43.2,2579390,19832,2272.5,5061.25,,25.85750008,10.57999992,180.4499969,66.87999725,1195.300049,1196.199951,16.71999931,1.061683774,19287.2793,1.216544986,0.748839319,114.6640015,7337.799805,252.1100006,52.36999893,,20.52000046,3.41899991,358.5,149.3000031,130.4499969,11.22999954,2.380000114,55.45000076,44.41625684,43.733322,43.05038716,42.485,-0.2,0,0.7,1.9,45.55555556,50.26284349,20,45.55555556,0.037446228,-83.87096774,1,2.311556277,54.66054211,0.512579265,0.550036051,0.98525641,0,50,-77.01631702,5.803600497,14.31194216,39.29737056,HPG
1/16/2017,43.15,42,4140650,,,,,,,,,,,,1.062868714,19095.24023,1.20393455,0.749793828,114.2269974,7327.100098,,,,,,,,,,,,44.9258366,43.48167595,42.03751529,42.47833333,-1.15,-1.15,-0.95,0.2,22.22222222,42.00716846,0,22.22222222,0.041799564,-100,0.973348783,1.897593077,44.30050354,0.361353763,0.512299594,0.809615385,100,42.85714286,-226.1818182,-12.98873065,10.31036926,31.57788205,HPG
1/17/2017,42,42,2562530,19743,2262.75,5040.25,,25.27750015,9.819999695,179.1100006,64.19000244,1212,1212.900024,17.10199928,1.060299158,18813.5293,1.204021454,0.747328341,114.1520004,7220.399902,250.1699982,52.47999954,,20.72999954,3.411999941,365.5,149.8999939,130.9250031,11.86999989,2.326999903,55.47000122,44.78536949,43.12211966,41.45886983,42.465,-1.85,-2,-1.8,0.5,10.06802721,25.94860166,10.20408163,10.06802721,0.044950716,-90.90909091,0.954545455,1.5625,45.92021823,0.238754252,0.457590525,0.667307692,100,35.71428571,-214.3196203,-12.98873065,14.44490309,34.78023158,HPG
1/18/2017,42,41.6,2902280,19735,2266.5,5054.5,,25.73749924,9.880000114,185.0200043,65.12999725,1211.300049,1212.099976,17.23500061,1.069678903,18894.36914,1.23880434,0.755070269,112.8779984,7247.600098,260.3699951,51.08000183,,20.97999954,3.302000046,365,149.1999969,131,12.47999954,2.388999939,53.91999817,44.28388243,42.70350273,41.12312303,42.48833333,-2.4,-2.4,-1.55,0.3,3.401360544,11.89720333,0,3.401360544,0.046811834,-100,0.945454545,1.178049732,37.17532133,0.108070826,0.387686585,0.503525641,100,28.57142857,-183.6018174,-18.57938569,16.91958236,31.09753751,HPG
1/19/2017,41.3,41.45,1968870,19694,2261.5,5053.5,,26.29000092,9.770000458,185.5599976,64.44000244,1200.900024,1201.5,16.96699905,1.062778354,19072.25,1.225970984,0.750919878,114.762001,7208.399902,251.3699951,51.36999893,,20.18000031,3.368000031,366.25,150.75,131.9499969,12.77999973,2.459000111,54.15999985,43.51508291,42.28544882,41.05581473,42.50833333,-2.2,-2.65,-2.15,-0.45,6.179138322,6.549508692,8.333333333,6.179138322,0.047486957,-93.84615385,0.939909297,0.599412576,37.31511254,-0.007513862,0.308646496,0.256410256,100,21.42857143,-158.245277,-20.63865045,22.54897655,26.78128661,HPG
1/20/2017,41.5,42.2,1186610,19745,2266,5058.25,,26.00250053,9.75,191.0800018,62.88000107,1204.300049,1204.900024,16.99699974,1.065973043,19137.91016,1.23383677,0.756658614,114.9800034,7198.399902,253.5800018,52.41999817,,20.18000031,3.203999996,369.75,153.1999969,133.1000061,11.53999996,2.467000008,55.49000168,42.57001646,42.01144686,41.45287726,42.55166667,-1,-1.2,-1,-0.3,18.22493225,9.268477039,46.34146341,18.22493225,0.047652222,-70.76923077,0.97235023,0.199206171,41.4382858,-0.038156978,0.239285801,0.08525641,92.85714286,14.28571429,-89.51107397,-6.178609174,10.98001416,30.41649348,HPG
1/23/2017,42.1,42,1280100,19735,2262,5063.5,,26.27249908,9.909999847,191,54.88000107,1215,1215.599976,17.14999962,1.071375012,18891.0293,1.238696933,0.757346272,113.8099976,7151.200195,250.8500061,52.75,,20.63999939,3.243000031,369.5,155.3999939,132.7749939,11.77000046,2.403000116,55.22999954,42.41627253,41.85770293,41.29913332,42.58833333,0,-1.15,-1.15,-0.95,38.22493225,20.87633427,60,38.22493225,0.047257708,-76.92307692,0.973348783,-0.272426542,38.09302297,-0.077684696,0.175891702,-0.116666667,85.71428571,7.142857143,-64.91860155,-9.30066442,7.695374672,28.48916853,HPG
1/24/2017,42.2,42,1167800,19844,2274.5,5096.25,,26.83250046,10.43999958,197.75,55,1210.300049,1210.800049,17.14900017,1.076078773,18787.99023,1.251721144,0.758265078,112.7799988,7150.299805,258.3699951,53.18000031,,20.57999992,3.279000044,363.25,152.3500061,132.4250031,11.06999969,2.470999956,55.43999863,42.34821606,41.78964646,41.23107686,42.63166667,0,-1.85,-2,-1.8,55.44715447,37.29900632,60,55.44715447,0.046397644,-76.5625,0.957810718,-0.562714198,31.92901714,-0.10776841,0.119159679,-0.241025641,78.57142857,0,-63.44238976,-9.30066442,8.665750627,29.25836791,HPG
1/25/2017,42,42.3,927340,20003,2294,5146.5,,26.94750023,10.35000038,202.4799957,56.90000153,1197.300049,1197.800049,16.94400024,1.072869301,19057.5,1.253305554,0.759243786,113.8399963,7164.399902,252.4299927,52.75,,20.34000015,3.332000017,366.25,152.8999939,132.375,10.81000042,2.523000002,55.08000183,42.39878309,41.81090556,41.22302802,42.69,0.7,-1.7,-1.7,-0.85,66.92307692,53.53172121,80.76923077,66.92307692,0.045346865,-67.1875,0.961363636,-0.799347959,26.85663055,-0.106178517,0.07409204,-0.342628205,71.42857143,7.142857143,-37.49075307,-3.319553408,0.686356585,36.46678044,HPG
2/2/2017,42.5,42.7,1756550,19821,2275.5,5131,,28.84749985,12.27999973,204.0500031,52.65999985,1216.699951,1216.699951,17.40200043,1.076739192,18914.58008,1.266143322,0.758380055,113.310997,7140.799805,251.4600067,53.54000092,,20.54999924,3.187000036,367.5,145.9499969,123.75,11.93000031,2.470000029,56.56000137,42.44849395,41.93313001,41.41776606,42.725,1.25,-0.95,-1.4,-0.9,80.25641026,67.54221388,100,80.25641026,0.044396412,-50.84745763,0.978235968,-1.147107586,35.65212543,-0.071814032,0.044910826,-0.492307692,64.28571429,0,-9.594583437,4.207323103,2.614152805,42.92010955,HPG
2/3/2017,44.1,43.2,5400770,19986,2291,5155,,28.59499931,12.23999977,206.1600037,52.97999954,1218.5,1218.5,17.45299911,1.076171398,18918.19922,1.252003193,0.765462399,112.7890015,7188.299805,250.4600067,53.83000183,,21.11000061,3.062999964,365.25,146.25,123.5749969,10.97000027,2.490999937,56.81000137,43.08300234,42.16561475,41.24822715,42.78833333,1,0,-0.2,0,76.59627954,74.59192224,49.01960784,76.59627954,0.043846961,-40,1,-1.417296991,50.3679618,-0.004185856,0.035091489,-0.608974359,57.14285714,100,89.64652402,12.76252125,31.59279921,42.21544387,HPG
2/6/2017,43.5,44.1,4803140,19972,2286.5,5157.75,,29.32749939,13.63000011,206.5599976,52.88000107,1230,1230,17.66699982,1.078294992,18976.71094,1.248423815,0.767601073,112.6389999,7172.200195,251.6900024,53.00999832,,21.18000031,3.049999952,363.75,144.1999969,123.5250015,11.36999989,2.413000107,55.72000122,44.02658587,42.54820838,41.06983089,42.865,2.1,2.1,0.95,0.95,77.77777778,78.21015586,84.31372549,77.77777778,0.04419496,-12.30769231,1.05,-1.47113594,53.23065513,0.120641756,0.052201543,-0.633012821,50,92.85714286,103.3659066,25.63655017,31.59279921,49.26657933,HPG
2/7/2017,44.2,44.6,8767000,20018,2288.5,5176.75,,29.78249931,13.28999996,205.9100037,53.27000046,1234.199951,1234.199951,17.7329998,1.074321628,18910.7793,1.246836066,0.764584482,111.8270035,7186.200195,249.7799988,52.16999817,,20.71999931,3.130000114,368.5,142.6000061,124.2249985,11.28999996,2.388999939,55.04999924,44.76044631,43.04743726,41.33442821,42.96833333,2.6,2.6,0.75,0.6,72.85974499,75.74460077,85.24590164,72.85974499,0.045579385,-11.84210526,1.061904762,-1.345501607,61.96548919,0.256952372,0.093151709,-0.579807692,42.85714286,100,157.2689402,31.66960771,42.13268794,45.78494567,HPG
2/8/2017,44.8,44.65,3608350,20002,2290.25,5191.25,,29.65250015,13.56000042,206.8899994,52.88999939,1237.599976,1237.599976,17.68300056,1.067805648,19007.59961,1.249625087,0.762253225,112.387001,7188.799805,252.3000031,52.34000015,,20.76000023,3.125999928,370.75,142.8999939,122.3000031,11.44999981,2.351000071,55.11999893,45.11564457,43.56387139,42.01209821,43.08,2.35,3.05,0.65,0.65,85.17484647,78.60412308,85.96491228,85.17484647,0.047813333,-10.52631579,1.073317308,-0.90821256,56.6156758,0.364808811,0.147483129,-0.391666667,35.71428571,92.85714286,138.1974249,32.2614399,42.13268794,50.52480997,HPG
2/9/2017,44.9,44.55,6052490,20136,2304.25,5212.25,,29.09499931,13.42000008,205.3399963,52.88000107,1235.099976,1235.099976,17.71999931,1.069221377,18907.66992,1.252803087,0.763172328,111.9520035,7229.5,264.4200134,53,,20.64999962,3.141000032,369.5,145.1999969,123.625,10.88000011,2.394999981,55.63000107,45.09829125,44.00540517,42.91251908,43.16833333,1.85,3.1,0.9,0.45,80.14719438,79.39392861,69.23076923,80.14719438,0.050637232,-15.38461538,1.074788902,-0.539645779,65.55280594,0.437177145,0.205421932,-0.233012821,28.57142857,100,123.1923602,29.83926556,45.70699525,48.11883547,HPG
2/10/2017,44.45,44.35,4005140,20223,2312.75,5226.75,,28.40500069,13.57999992,205.5200043,54,1234.400024,1234.400024,17.91200066,1.065859437,19378.92969,1.249812484,0.762590408,113.4339981,7258.799805,264.5299988,53.86000061,,20.42000008,3.03399992,374.5,145.75,122.0749969,10.85000038,2.40899992,56.70000076,44.71858553,44.31361639,43.90864726,43.23,1.15,2.15,1.15,0.95,71.3900135,78.90401812,58.97435897,71.3900135,0.053767085,-20.51282051,1.050947867,-0.075663165,65.46666881,0.472939491,0.258925444,-0.032692308,21.42857143,92.85714286,91.00789501,24.91216348,42.98943508,45.57291088,HPG
2/13/2017,44.5,44.75,2291640,20383,2326.25,5259.25,,27.09499931,13.48999977,206.7100067,54.93000031,1224.400024,1224.400024,17.80400085,1.061954379,19459.15039,1.248455048,0.767012298,113.9140015,7278.899902,273.8299866,52.93000031,,20,2.944000006,375.5,144.25,121.8249969,11.06999969,2.434000015,55.59000015,44.80856138,44.5432314,44.27790141,43.29,0.65,2.75,2.75,1.6,62.03328835,71.19016541,57.89473684,62.03328835,0.057348621,-10.25641026,1.06547619,0.422240988,70.7134376,0.527477631,0.312635881,0.182692308,14.28571429,85.71428571,86.5364851,30.58564303,42.98943508,45.35115759,HPG
2/14/2017,45,45.1,4544800,20482,2337,5276,,27.19499969,13.26000023,205.3300018,55.47999954,1223.900024,1223.900024,17.87199974,1.059849739,19238.98047,1.252301097,0.764239669,113.7050018,7268.600098,272,53.20000076,,20.46999931,2.904999971,374.25,143.6499939,124,10.73999977,2.470000029,55.97000122,45.24659564,44.7502087,44.25382175,43.33333333,0.5,3.1,3.1,1.25,61.17858749,64.86729645,66.66666667,61.17858749,0.061462193,-9.411764706,1.073809524,0.806046085,77.64995605,0.59211603,0.368531911,0.349358974,7.142857143,100,96.58469945,35.19936978,49.53850326,50.01323053,HPG
2/15/2017,45.1,45.15,3767830,20623,2350.5,5310,,27.25,13.30000019,205.9900055,56.49000168,1231.699951,1231.699951,17.9470005,1.057831645,19437.98047,1.247038245,0.766929984,114.3010025,7302.399902,274.1300049,53.11000061,,20.47999954,2.924999952,378.75,144.5,124.2750015,11.97000027,2.502000093,55.75,45.55368754,44.93530254,44.31691755,43.4,0.5,2.85,3.55,1.15,64.70887363,62.64024983,69.56521739,64.70887363,0.065974395,-8.75,1.067375887,1.308304892,74.52304464,0.639999493,0.422825427,0.567628205,0,92.85714286,87.01312336,35.85528855,49.53850326,45.79581332,HPG
