Date,Open,Close,Adjust,Volume,Gold,MGC_Gold,Silver,Eur_usd,Nikkei,Gpb_usd,Aud_usd,Usd_jpy,Fste,Iron_steel,Oil,Sugar,Nat_Gas,Corn-F,Coffe-F,Feeder-F,Vix,Tnx,Bzf,Upper_bb,Middle_bb,Lower_bb,Sma,Mom5,Mom10,Mom15,Mom20,Slow_k,Slow_d,Fast_k,Fast_d,Trix,William_R,Rocr,Pro,Mfi,Macd,Macd_sig,Apo,Aroon_up,Aroon_down,Cci,Cmo,Dx,Ultosc,Name
1/3/2017,1.792726652,1.775653065,30.56,321500,1160.400024,1162,16.3560009,1.046003222,,1.228199482,0.719683349,117.4950027,7177.899902,253.4100037,52.33000183,20.51000023,3.326999903,355.75,137.3999939,130.1999969,12.85000038,2.450000048,55.47000122,,,,,,,,,,,,,,,,,,,,,,,,,,,VIC
1/4/2017,1.775653065,1.79486085,30.89,314110,1163.800049,1165.300049,16.49900055,1.041992307,19594.16016,1.224559784,0.722992599,117.6589966,7189.700195,263.2600098,53.25999832,20.88999939,3.26699996,359.75,141.8000031,128.5,11.85000038,2.451999903,56.45999908,,,,,,,,,,,,,,,,,,,,,,,,,,,VIC
1/5/2017,1.788458255,1.805531842,31.08,359450,1179.699951,1181.300049,16.58399963,1.05008924,19520.68945,1.232680798,0.728703618,117.112999,7195.299805,261.1400146,53.75999832,20.78000069,3.273000002,361.25,143.75,128.25,11.67000008,2.368000031,56.88999939,,,,,,,,,,,,,,,,,,,,,,,,,,,VIC
1/6/2017,1.809800239,1.839679017,31.66,850050,1171.900024,1173.400024,16.4659996,1.060591578,19454.33008,1.24254477,0.733837247,115.2649994,7210.100098,256.2399902,53.99000168,20.75,3.285000086,358,142.8500061,128.3249969,11.31999969,2.417999983,57.09999847,,,,,,,,,,,,,,,,,,,,,,,,,,,VIC
1/9/2017,1.84821581,1.843947413,31.74,459010,1183.5,1184.900024,16.62999916,1.053185821,,1.226091266,0.731207967,117.1500015,7237.799805,250.9900055,51.95999908,20.42000008,3.102999926,360,144.1999969,129.2749939,11.56000042,2.375999928,54.93999863,,,,,,,,,,,,,,,,,,,,,,,,,,,VIC
1/10/2017,1.843947413,1.831142223,31.52,459520,1184.199951,1185.5,16.8029995,1.05886209,19301.43945,1.217344761,0.735997617,115.9850006,7275.5,259.1099854,50.81999969,20.47999954,3.278000116,358.25,147.6999969,132.6999969,11.48999977,2.378999949,53.63999939,,,,,0.055489158,,,,,,,,,,,,,,,,,,,,,,VIC
1/11/2017,1.831142223,1.83541062,31.59,415040,1195.599976,1196.599976,16.78300095,1.055241942,19364.66992,1.217433691,0.736160219,115.8720016,7290.5,258.4500122,52.25,20.55999947,3.223999977,357.25,149,132.0500031,11.26000023,2.369999886,55.09999847,,,,,0.04054977,,,,,,68.75,73.79385965,,,,,,,,,,,,,,,VIC
1/12/2017,1.843947413,1.83541062,31.59,518850,1198.900024,1199.800049,16.78000069,1.059771061,19134.69922,1.22144866,0.744712532,115.0979996,7292.399902,252.3399963,53.00999832,20.76000023,3.385999918,358.25,149.6000061,130.3249969,11.53999996,2.361000061,56.00999832,,,,,0.029878778,,,,,,56.52173913,64.56426392,,,,,,,,,,,,,,,VIC
1/13/2017,1.837544818,1.84821581,31.81,506040,1195.300049,1196.199951,16.71999931,1.061683774,19287.2793,1.216544986,0.748839319,114.6640015,7337.799805,252.1100006,52.36999893,20.52000046,3.41899991,358.5,149.3000031,130.4499969,11.22999954,2.380000114,55.45000076,,,,,0.008536794,,,,67.6831723,68.68043196,77.77777778,67.6831723,,,,,,,,,,,,,,,VIC
1/16/2017,1.84821581,1.829008025,31.48,249960,,,,1.062868714,19095.24023,1.20393455,0.749793828,114.2269974,7327.100098,,,,,,,,,,,,,,,-0.014939389,,,,54.5704272,62.27262114,29.41176471,54.5704272,,,,,,,,,,,,,,,VIC
1/17/2017,1.83541062,1.820471231,31.33,662430,1212,1212.900024,17.10199928,1.060299158,18813.5293,1.204021454,0.747328341,114.1520004,7220.399902,250.1699982,52.47999954,20.72999954,3.411999941,365.5,149.8999939,130.9250031,11.86999989,2.326999903,55.47000122,,,,,-0.010670992,0.044818166,,,45.87477503,56.04279151,30.43478261,45.87477503,,,1.025240385,,,,,,,,,,,,VIC
1/18/2017,1.805531842,1.796995049,30.93,743470,1211.300049,1212.099976,17.23500061,1.069678903,18894.36914,1.23880434,0.755070269,112.8779984,7247.600098,260.3699951,51.08000183,20.97999954,3.302000046,365,149.1999969,131,12.47999954,2.388999939,53.91999817,,,,,-0.038415571,0.002134198,,,19.9488491,40.13135045,0,19.9488491,,,1.001189061,,,,,,,,,,,,VIC
1/19/2017,1.796995049,1.792726652,30.86,1160620,1200.900024,1201.5,16.96699905,1.062778354,19072.25,1.225970984,0.750919878,114.762001,7208.399902,251.3699951,51.36999893,20.18000031,3.368000031,366.25,150.75,131.9499969,12.77999973,2.459000111,54.15999985,,,,,-0.042683968,-0.01280519,,,14.18533158,26.6696519,12.12121212,14.18533158,,,0.992907801,,,,,,,,,,,,VIC
1/20/2017,1.799129247,1.792726652,30.86,714290,1204.300049,1204.900024,16.99699974,1.065973043,19137.91016,1.23383677,0.756658614,114.9800034,7198.399902,253.5800018,52.41999817,20.18000031,3.203999996,369.75,153.1999969,133.1000061,11.53999996,2.467000008,55.49000168,,,,,-0.055489158,-0.046952365,,,8.484848485,14.20634306,13.33333333,8.484848485,,-78.94736842,0.974477958,,,,,,,,-79.28489043,,,,VIC
1/23/2017,1.801263445,1.792726652,30.86,729750,1215,1215.599976,17.14999962,1.071375012,18891.0293,1.238696933,0.757346272,113.8099976,7151.200195,250.8500061,52.75,20.63999939,3.243000031,369.5,155.3999939,132.7749939,11.77000046,2.403000116,55.22999954,,,,,-0.036281373,-0.051220761,,,16.17715618,12.94911208,23.07692308,16.17715618,,-78.94736842,0.972222222,,42.37737011,,,,7.142857143,28.57142857,-91.88864891,11.11111111,7.343412527,,VIC
1/24/2017,1.801263445,1.771384668,30.49,539560,1210.300049,1210.800049,17.14900017,1.076078773,18787.99023,1.251721144,0.758265078,112.7799988,7150.299805,258.3699951,53.18000031,20.57999992,3.279000044,363.25,152.3500061,132.4250031,11.06999969,2.470999956,55.43999863,,,,,-0.049086563,-0.059757555,-0.004268397,,12.13675214,12.26625227,0,12.13675214,,-100,0.967365967,,37.56384665,,,,100,21.42857143,-119.6874271,-3.345724907,13.00889097,,VIC
1/25/2017,1.788458255,1.792726652,30.86,788030,1197.300049,1197.800049,16.94400024,1.072869301,19057.5,1.253305554,0.759243786,113.8399963,7164.399902,252.4299927,52.75,20.34000015,3.332000017,366.25,152.8999939,132.375,10.81000042,2.523000002,55.08000183,,,,,-0.004268397,-0.042683968,-0.002134198,,28.52564103,18.94651645,62.5,28.52564103,,-75,0.976744186,,40.53818139,,,,100,14.28571429,-96.44034278,9.355405066,13.00889097,,VIC
2/2/2017,1.805531842,1.814068636,31.22,390520,1216.699951,1216.699951,17.40200043,1.076739192,18914.58008,1.266143322,0.758380055,113.310997,7140.799805,251.4600067,53.54000092,20.54999924,3.187000036,367.5,145.9499969,123.75,11.93000031,2.470000029,56.56000137,,,,,0.021341984,-0.021341984,0.008536794,,45.52469136,28.72902817,74.07407407,45.52469136,,-50,0.988372093,,37.18884002,,,,92.85714286,7.142857143,0.162149641,19.95024791,13.16245802,,VIC
