Date,Open,Close,Volume,Down-F,Sp500,Nasdaq,Russel,NVDA,AMD,AVGO,QCOM,Gold,MGC_Gold,Silver,Eur_usd,Nikkei,Gpb_usd,Aud_usd,Usd_jpy,Fste,Iron_steel,Oil,BTC-USD,Sugar,Nat_Gas,Corn-F,Coffe-F,Feeder-F,Vix,Tnx,Bzf,Upper_bb,Middle_bb,Lower_bb,Sma,Mom5,Mom10,Mom15,Mom20,Slow_k,Slow_d,Fast_k,Fast_d,Trix,William_R,Rocr,Pro,Mfi,Macd,Macd_sig,Apo,Aroon_up,Aroon_down,Cci,Cmo,Dx,Ultosc,Name
1/3/2012,7,7,1177400,12338,1272,2316,,3.50999999,5.480000019,28.95000076,55.27000046,1599.699951,160.0500031,29.53300095,1.294096351,,1.551999688,1.025399208,76.93000031,5699.899902,239.6199951,102.9599991,,24.51000023,2.993000031,658.5,227.1999969,146.6750031,22.96999931,1.960000038,112.1299973,,,,,,,,,,,,,,,,,,,,,,,,,,,VND
1/4/2012,7.4,6.8,1483600,12356,1273,2328.75,,3.549999952,5.460000038,28.45000076,55.83000183,1611.900024,161.2700043,29.06299973,1.305602312,8560.110352,1.564406633,1.037000179,76.72200012,5668.5,242.0299988,103.2200012,,24.42000008,3.095999956,658.5,226.6999969,147.75,22.21999931,1.995000005,113.6999969,,,,,,,,,,,,,,,,,,,,,,,,,,,VND
1/5/2012,6.7,6.4,1953500,12331,1273,2339.5,,3.67750001,5.460000038,28.48999977,56.06000137,1619.400024,162.0099945,29.26499939,1.293142438,8488.709961,1.560938954,1.034126163,76.70999908,5624.299805,240.8899994,101.8099976,,23.12999916,2.980000019,643.5,219.5500031,147.875,21.47999954,1.993000031,112.7399979,,,,,,,,,,,,,,,,,,,,,,,,,,,VND
1/6/2012,6.2,6.1,3298300,12309,1274.25,2352.25,,3.63499999,5.429999828,28.30999947,56.15999985,1616.099976,161.6799927,28.65299988,1.279606819,8390.349609,1.550171375,1.025704145,77.15100098,5649.700195,241.75,101.5599976,,23.29000092,3.062000036,643.5,221.75,147.3000031,20.62999916,1.960999966,113.0599976,,,,,,,,,,,,,,,,,,,,,,,,,,,VND
1/9/2012,6,6,2677100,12337,1275.5,2346.75,,3.63499999,5.590000153,30.21999931,55.90999985,1607.5,160.8099976,28.74900055,1.268037796,,1.541948676,1.019804597,76.91000366,5612.299805,242.0500031,101.3099976,,23.34000015,3.010999918,652,221.8500061,147.8000031,21.06999969,1.960000038,112.4499969,,,,,,,,,,,,,,,,,,,,,,,,,,,VND
1/10/2012,6,6.4,1715400,12390,1286,2363.5,,3.619999886,5.710000038,30.64999962,55.75,1631,163.1499939,29.78300095,1.277595997,8422.259766,1.54590559,1.025399208,76.86000061,5696.700195,246.3999939,102.2399979,,23.31999969,2.940999985,652,225.9499969,148.8500061,20.69000053,1.972000003,113.2799988,,,,,-0.6,,,,,,,,,,,,,,,,,,,,,,VND
1/11/2012,6.5,6.3,2043300,12388,1288.25,2367,,3.547499895,5.809999943,31.20000076,55.61999893,1639.199951,163.9600067,29.8579998,1.27518487,8447.879883,1.547460556,1.029802561,76.84999847,5670.799805,250.2299957,100.8700027,,23.69000053,2.773999929,651.5,234.8999939,148.6750031,21.04999924,1.904000044,112.2399979,,,,,-0.5,,,,,,60,39.60784314,,,,,,,,,,,,,,,VND
1/12/2012,6.3,6.1,1565600,12413,1291.75,2378.5,,3.525000095,5.820000172,31.68000031,56.33000183,1647.300049,164.7700043,30.09199905,1.272394061,8385.589844,1.533601284,1.031523347,76.85800171,5662.399902,251.2400055,99.09999847,,23.27000046,2.697000027,611.5,233.8999939,149.4750061,20.46999931,1.932999969,111.2600021,,,,,-0.3,,,,,,40,47.05882353,,,,,,,,,,,,,,,VND
1/13/2012,5.9,6.3,2268700,12390,1289,2373.5,,3.432499886,5.659999847,31.56999969,56.54000092,1630.400024,163.0800018,29.49300003,1.282051325,8500.019531,1.534212947,1.033666492,76.77899933,5636.600098,246.4299927,98.69999695,,23.84000015,2.670000076,599.5,225.25,150.5749969,20.90999985,1.853000045,110.4400024,,,,,0.2,,,,53.33333333,46.66666667,60,53.33333333,,,,,,,,,,,,,,,VND
1/16/2012,6.4,6.6,2682300,,,,,,,,,,,,1.264702082,8378.360352,1.530011058,1.028119087,76.91000366,5657.399902,,,,,,,,,,,,,,,,0.6,,,,62.96296296,54.45170661,88.88888889,62.96296296,,,,,,,,,,,,,,,VND
1/17/2012,6.6,6.4,2182600,12420,1289.25,2389.75,,3.380000114,5.730000019,31.64999962,57.13999939,1655.199951,165.5599976,30.1060009,1.266704679,8466.400391,1.532496572,1.03200233,76.81999969,5694,247.8099976,100.7099991,,23.86000061,2.487999916,604,225.1499939,150.6499939,22.20000076,1.850000024,111.5299988,,,,,0,-0.6,,,71.85185185,62.71604938,66.66666667,71.85185185,,,0.914285714,,,,,,,,,,,,VND
1/18/2012,6.2,6.5,1705100,12504,1302.25,2420.5,,3.494999886,5.96999979,33.93999863,57.59000015,1659.5,165.9900055,30.51399994,1.274599791,8550.580078,1.533859968,1.037979603,76.81999969,5702.399902,251.5200043,100.5899963,,24,2.471999884,593.5,224.8500061,150.9250031,20.88999939,1.896999955,110.6600037,,,,,0.2,-0.3,,,77.77777778,70.86419753,77.77777778,77.77777778,,,0.955882353,,,,,,,,,,,,VND
1/19/2012,6.3,6.7,1308600,12587,1310.5,2425.25,,3.587500095,6.21999979,33.61999893,58,1654.099976,165.4499969,30.48200035,1.286603928,8639.679688,1.542995572,1.041894555,76.76699829,5741.200195,253.5500031,100.3899994,,24.61000061,2.322000027,606,226.6499939,151.6999969,19.87000084,1.972000003,111.5500031,,,,,0.6,0.3,,,81.48148148,77.03703704,100,81.48148148,,,1.046875,,,,,,,,,,,,VND
1/20/2012,6.8,6.8,2808000,12654,1310.75,2434.75,,3.555000067,6.420000076,33.81000137,57.72999954,1663.699951,166.3999939,31.64699936,1.296495676,8766.360352,1.548826694,1.041590691,77.08000183,5728.600098,251.9600067,98.45999908,,24.88999939,2.342999935,611.5,225.3999939,151.625,18.28000069,2.028000116,109.8600006,,,,,0.5,0.7,,,82.59259259,80.61728395,70,82.59259259,,-35.29411765,1.114754098,,,,,,,,114.6666667,,,,VND
1/30/2012,6.9,7.1,2625500,12602,1309,2462,,3.700000048,6.739999771,33.72999954,58.63000107,1731,173.1000061,33.49700165,1.320794582,8793.049805,1.572401166,1.06371665,76.73200226,5671.100098,254.3699951,98.77999878,,23.85000038,2.713000059,631.75,216.6000061,154.3500061,19.39999962,1.837000012,110.75,,,,,0.5,1.1,,,84.44444444,82.83950617,83.33333333,84.44444444,,-17.64705882,1.183333333,,48.26440208,,,,28.57142857,7.142857143,159.0759076,3.225806452,6.12244898,,VND
